Netherlands
Conversation ID,Entry ID,Actor,Original Text,Translated Text [Netherlands],Original Menu,Translated Menu [Netherlands],Description
4,27,Player,My name is [var=Actor]. I have just been hired by the government secret service.,Mijn naam is [var=Actor]. Ik ben net ingehuurd door de geheime dienst van de overheid.,,,
4,28,Player,"The authorities are convinced that the local mafia, led by Edith Balmont, is falsifying tests, and my job is to use this laboratory to prove it.","De autoriteiten zijn ervan overtuigd dat de plaatselijke maffia, onder leiding van Edith Balmont, testen vervalst, en het is mijn taak om dit laboratorium te gebruiken om dat te bewijzen.",,,
4,29,Player,"I will then be able to claim a place on the ship for Mars and take my little sister with me, who does not currently has priority for boarding.","Dan kan ik voor de reis naar de planeet Mars een plaats op het schip opeisen en mijn zusje meenemen, die momenteel geen voorrang heeft om aan boord te gaan.",,,
4,30,Robot,It's been 10 years since my last entry in the register! And the lab is completely filthy!,Het is 10 jaar geleden sinds mijn laatste inschrijving in het register! En het lab is helemaal smerig!,,,
4,31,Robot,You can't do a good job under these conditions...,Onder deze omstandigheden kun je geen goed werk doen...,,,
4,32,Robot,"Here, push that button on the door to open it.","Hier, druk op die knop op de deur om hem te openen.",,,
4,33,Robot,,,,,
5,0,Robot,,,,,
5,1,Robot,"This is the locker room, this is where you have to get your PPE or personal protective equipment.","Dit is de kleedkamer, hier moet je je PBM of persoonlijke beschermingsmiddelen halen.",,,
5,2,Robot,"Before you go into the lab, take this locker here, I'll turn around, tell me when you're done!","Voordat je het lab in gaat, neem je dit kastje hier, ik draai me om, vertel me wanneer je klaar bent!",,,
5,3,Robot,,,,,
5,4,Robot,"All right, let's go to the reception!","Okay, laten we naar de receptie gaan!",,,
6,0,Player,,,,,
6,1,Player,"Oh perfect, it's exactly my size!","Oh perfect, het is precies mijn maat!",,,
7,0,Player,,,,,
7,1,Robot,This is where we will receive the blood samples.,Hier ontvangen we de bloedmonsters.,,,
7,2,Robot,The first step to remember is to scan the sample code.,De eerste stap die je moet onthouden is het scannen van de barcode.,,,
7,3,Robot,"After that, we can go to the laboratory.",Daarna kunnen we naar het laboratorium.,,,
7,4,Robot,Do you have any questions?,Heb je nog vragen?,,,
7,8,Robot,"Okay, I see you've got it all figured out so follow me into the lab!","Okay, ik zie dat je het allemaal door hebt, dus volg me naar het lab!",,,
7,9,Quizz,Errrr,Errrr,,,
7,10,Quizz,Uhhhh,Uhhhh,,,
8,0,Player,,,,,
8,1,Robot,This is the haematology laboratory. Usually you will be able to check the tests to be performed on this computer.,Dit is het hematologie laboratorium. Meestal kunt u Op deze computer kan je de uit te voeren testen controleren.,,,
8,3,Robot,"You can do CBCs, bloodcount, etc. (list of all analyses on the computer screen).","U kunt Je kan een CBC, bloedbeeld, etc doen (lijst van alle analyses op het computerscherm).",,,
8,4,Robot,I will also introduce you to the different types of automatons and their functionality.,Ik zal je ook kennis laten maken met de verschillende soorten PLC's ??? en hun functionaliteit.,,,
8,5,Robot,"By clicking on it, you will see the name of the machine and the types of analysis it performs.",Door erop te klikken zie je de naam van de machine en de soorten analyses die hij uitvoert.,,,
8,6,Robot,"Before performing the test, you may need to mix or blend the tube (the pre-analysis manual will help you).","Vooraleer je de test uitvoert, moet je misschien de buis mengen of mixen (de handleiding voor pre-analyse kan je daarbij helpen).",,,
8,7,Robot,"A ""control tube"" should always be placed in the automaton to ensure that it is working properly.","Er moet altijd een ""controlebuis"" in de automaat worden geplaatst om ervoor te zorgen dat deze goed werkt.",,,
8,8,Robot,"When this is done, the sample is placed in the machine and all values are checked for compliance.\n","Als dit gedaan is, wordt het monster in de automaat geplaatst en worden alle waarden gecontroleerd op juistheid.",,,
8,9,Robot,Let's continue to the archives!,Laten we doorgaan naar de archieven!,,,
9,0,Player,,,,,
9,1,Robot,"There are refrigerators that keep samples at different temperatures. For example, this one is at a temperature of 36 °C.",Er zijn koelkasten die monsters op verschillende temperaturen bewaren. Deze heeft bijvoorbeeld een temperatuur van 36°C.,,,
9,2,Robot,"I know, it's weird for a fridge, don't put your yoghurt in there.","Ik weet het, het is raar voor een koelkast, stop je yoghurt er niet in.",,,
9,3,Robot,"The right fridge must be chosen when placing a patient sample in it. For example, a control tube does not fit in the same fridge as a blood tube.",Bij het plaatsen van een monster in de koelkast moet de juiste koelkast gekozen worden. Een controlebuisje mag bijvoorbeeld niet in dezelfde koelkast als een bloedbuisje.,,,
9,4,Robot,"By hovering over the fridges with the mouse, you will get the necessary information: their temperature, but also the type of samples they can hold.","Door met de muis over de koelkasten te gaan, krijg je de nodige informatie: hun temperatuur, maar ook het soort monsters dat ze kunnen bevatten.",,,
9,5,Robot,Let's move on to the offices.,Laten we doorgaan naar de kantoren.,,,
9,6,Robot,"Welcome to the archive room. As the name suggests, this is where we will archive and store all the samples we analyse.","Welkom in de archiefruimte. Zoals de naam al zegt, is dit de plaats waar we alle monsters die we analyseren zullen archiveren en opslaan.",,,
9,8,Robot,"Here, push that button on the door to open it.","Hier, druk op die knop op de deur om hem te openen.",,,
10,0,Player,,,,,
10,1,Robot,"Personally, this is my favourite room, I love computers. But at the same time, I am a computer!","Persoonlijk is dit mijn favoriete kamer, ik hou van computers. Maar tegelijkertijd ben ik een computer!",,,
10,2,Robot,Let me try my old logins.,Laat me mijn oude logins proberen.,,,
10,3,Robot,"Ah, they're not smart, they haven't renewed the passwords for over 10 years.","Ah, ze zijn niet slim, ze hebben de wachtwoorden al meer dan 10 jaar niet vernieuwd.",,,
10,4,Robot,"Password: 0000. That's it, I'm connected to the GOV.BLOOD database.","Wachtwoord: 0000. Dat is het, ik ben verbonden met de GOV.BLOOD database.",,,
10,5,Robot,I'm ordering all the suspect samples to be analysed for the secret service. They will be delivered tomorrow.,Ik bestel alle verdachte monsters om te analyseren voor de geheime dienst. Ze worden morgen geleverd.,,,
10,6,Robot,"And finally, let's visit the dormitory!","En tot slot, laten we de slaapzaal bezoeken!",,,
10,7,Robot,"Here, push that button on the door to open it.","Hier, druk op die knop op de deur om hem te openen.",,,
10,8,Robot,This is where you can report test results and enter them into the government database.,Hier kun je testresultaten rapporteren en invoeren in de overheidsdatabase.,,,
11,0,Player,,,,,
11,1,Robot,That's what this place is for.,Daar is deze plek voor..,,,
11,2,Robot,"You put yourself in a horizontal position and close your eyes, at least that's what the old workers in the lab did and it seemed to work...","Je legt jezelf in een horizontale positie en sluit je ogen, althans dat is wat de oude werknemers in het lab deden en het leek te werken...",,,
11,3,Robot,"You have a telephone at your disposal, if you want to call a relative, and a television, if you want to keep up to date with the news.","Je hebt een telefoon tot je beschikking, als je een familielid wilt bellen, en een televisie, als je op de hoogte wilt blijven van het nieuws.",,,
11,4,Robot,"Unfortunately, they no longer show my favourite show, Robot Chef, in which the robot that cooks best is judged.","Helaas laten ze mijn favoriete programma, Robot Chef, waarin de robot die het beste kookt wordt beoordeeld, niet meer zien.",,,
11,5,Robot,"While you rest and get settled, I'll start cleaning the lab.","Terwijl jij uitrust en je settelt, begin ik met het schoonmaken van het lab.",,,
11,6,Robot,Good night and see you tomorrow my friend!,Goedenacht en tot morgen mijn vriend!,,,
11,7,Robot,"After a good day's work, it seems that you humans need a rest.","Na een goede dag werken, lijkt het erop dat jullie mensen rust nodig hebben.",,,
11,8,Robot,"Here, push that button on the door to open it.","Hier, druk op die knop op de deur om hem te openen.",,,
12,0,Robot,"Stay in your room, I'm shy and I don't like people watching me clean!","Blijf in je kamer, ik ben verlegen en hou er niet van als mensen me zien schoonmaken!",,,
14,0,Player,,,,,
14,6,Player,"Hi little sister, how are you?","Hoi zusje, hoe gaat het?",,,
14,7,Lilou,[Unintelligible noises].,[onverstaanbaar geluid],,,
14,8,Lilou,[Unintelligible noises].,[onverstaanbaar geluid],,,
14,9,Player,Does Auntie look after you well?,Zorgt tante goed voor je?,,,
14,10,Player,Kisses and take care of yourself.,Kusjes en zorg goed voor jezelf.,,,
15,0,Robot,,,,,
15,1,Robot,"Stay in your room, I'm shy and I don't like people watching me clean!","Blijf in je kamer, ik ben verlegen en ik hou er niet van dat mensen naar me kijken als ik schoonmaak!",,,
16,0,Player,,,,,
16,1,Player,I should call Lilou before I go to sleep,Ik moet Lilou bellen voordat ik ga slapen,,,
16,2,Player,Let's see the news of the day on TV,Laten we het nieuws van de dag op TV bekijken,,,
16,3,Player,Sleep,Slaap,,,
17,0,TV,,,,,
17,1,TV,news of the day,nieuws van de dag,,,
17,2,TV,"Weather forecast, it will rain over the whole of the Benelux today. The usual seasonal autumnal gusts of 100 to 150 km/h are expected during the afternoon.","Het weerbericht, het zal vandaag over de hele Benelux regenen. De gebruikelijke seizoensgebonden herfstvlagen van 100 tot 150 km/u worden in de loop van de middag verwacht.",,,
17,3,TV,"A haematological programme set up by the European Union to test those who will be selected to work on the Red Planet.""",Een hematologisch programma opgezet door de Europese Unie om diegene te testen die geselecteerd zullen worden om op de Rode Planeet te werken.,,,
18,0,Robot,,,,,
18,1,Robot,"Did you sleep well, princess?","Heb je goed geslapen, prinses?",,,
18,2,Player,Grmphff…,Grmphff?,,,
18,3,Robot,"I spent the night cleaning the lab, you could almost eat off the floor!","Ik heb de nacht doorgebracht met het schoonmaken van het lab, je kunt bijna van de vloer eten!",,,
18,4,Robot,"I'm going to show you how it all works, but I need some blood to analyse and the samples haven't arrived yet.","Ik ga je laten zien hoe het allemaal werkt, maar ik heb wat bloed nodig om te analyseren en de monsters zijn nog niet aangekomen.",,,
18,5,Robot,I'll take just a little bit if you don't mind.,"Ik neem een klein beetje van jou, als je het niet erg vindt.",,,
18,6,Player,Excuse me!?,Excuseer me!?,,,
18,7,Robot,"Don't worry it won't be painful, and it will allow me to ask you some questions to check that you are qualified.","Maak je geen zorgen het zal niet pijnlijk zijn, en het zal me in staat stellen om je enkele vragen te stellen om te controleren of je gekwalificeerd bent.",,,
18,8,Robot,Follow me into the laboratory!,Volg mij naar het laboratorium!,,,
18,9,Player,"All right, I'm coming.","Oké, ik kom eraan.",,,
19,0,TV,,,,,
19,5,TV,News of the day:,Nieuws van de dag:,,,
19,6,TV,"Another ecological disaster in Germany. A tornado hit the city of Aachen and swept away three bell towers, including that of its famous cathedral.","Nog een ecologische ramp in Duitsland. Een tornado heeft de stad Aken getroffen en drie klokkentorens weggevaagd, waaronder die van de beroemde kathedraal.",,,
19,7,TV,The famous businesswoman Judith Balmont pledges one million euros to restore the monument.,De beroemde zakenvrouw Judith Balmont zegt een miljoen euro toe om het monument te restaureren.,,,
20,0,Robot,,,,,
20,1,Player,"Don't forget to dress up, it's mandatory in the lab!","Vergeet je niet om te kleden, het is verplicht in het lab!",,,
21,0,Robot,,,,,
21,1,Robot,"First of all, we need to choose the right tube for our analysis.",Allereerst moeten we de juiste buis kiezen voor onze analyse.,,,
21,2,Robot,"Here we will do a haematological analysis to count your blood cells, CBC for short.","Hier gaan we een hematologische analyse doen om je bloedcellen te tellen, afgekort CBC.",,,
21,3,Robot,"This means that a blood test will be done to measure red and white blood cells, but also your blood platelets.","Dit betekent dat er een bloedonderzoek wordt gedaan om rode en witte bloedcellen te meten, maar ook uw bloedplaatjes.",,,
21,4,Robot,"Choose the right tube on the table, you can help yourself with the poster/manual.","Kies het juiste buisje op de tafel, je kunt jezelf helpen met de poster/handleiding.",,,
21,5,Robot,This is a tube containing EDTA (Ethylen-Diamin-Tetra-Acetate) fluid.,Dit is een buisje met EDTA (Ethyleen-Diamine-Tetra-Acetaat) vloeistof.,,,
21,6,Robot,"This fluid stabilises the blood cells and prevents the blood from clotting, which is necessary for our CBC analysis.","Deze vloeistof stabiliseert de bloedcellen en voorkomt dat het bloed stolt, wat nodig is voor onze CBC-analyse.",,,
21,7,Robot,I'll tell you how I operate now.,Ik zal u nu vertellen welke handelingen ik ga uitvoeren.,,,
21,8,Robot,"After clearing your arm, I disinfect the area of the sting.","Na het schoonmaken van je arm, ontsmet ik het gebied van de prik.",,,
21,9,Robot,I tie the tourniquet.,Ik bind de tourniquet om je arm.,,,
21,10,Robot,I insert the needle and fill the sample.,Ik breng de naald in en vul het buisje.,,,
21,11,Robot,I release the tourniquet.,Ik maak het tourniquet los.,,,
21,12,Robot,I take the needle out.,Ik haal de naald eruit.,,,
21,13,Robot,And there you have it. Now I gently swirl the tube to avoid coagulation.,En daar heb je het! Ik draai de buis voorzichtig om om stolling te voorkomen.,,,
21,14,Robot,"You see it wasn't so bad, now I'm going to ask you some questions about what you saw.","Je ziet dat het niet zo erg was, nu ga ik je wat vragen stellen over wat je gezien hebt.",,,
21,15,Robot,That's the one.,Dat is hem,,,
21,16,Robot,"This is not the right tube, it was the one with the purple cap.","Dit is niet de juiste buis, het was die met de paarse dop.",,,
22,0,Robot,,,,,
22,1,Robot,\>What equipement is necessary for blood taking (9 answers expected)?,Welke benodidgheden zijn nodig voor bloedafname (9 antwoorden verwacht)?,,,
22,2,Quizz,Gloves,Handschoenen,,,
22,3,Quizz,Desinfectant,Ontsmettingsmiddel,,,
22,4,Quizz,Single use butterfly needle,Vlindernaald voor eenmalig gebruik,,,
22,5,Quizz,Tourniquet,Tourniquet,,,
22,6,Quizz,Swab,Gaasje,,,
22,7,Quizz,Sample tubes,Staalbuisjes,,,
22,8,Quizz,Trash bin,Prullenbak,,,
22,9,Quizz,Labels,Labels,,,
22,10,Quizz,Plaster,Verband,,,
22,11,Quizz,NaCl (salt),NaCl (zout),,,
22,12,Quizz,Chronometer,Chronometer,,,
22,15,Quizz,[em3]Gloves,[em3]Handschoenen,,,
22,16,Quizz,[em3]Desinfectant,[em3]Ontsmettingsmiddel,,,
22,17,Quizz,[em3]Single use butterfly needle,[em3]Vlindernaald voor eenmalig gebruik,,,
22,18,Quizz,[em3]Tourniquet,[em3]Tourniquet,,,
22,19,Quizz,[em3]Swab,[em3]Gaasje,,,
22,20,Quizz,[em3]Sample tubes,[em3]Staalbuisjes,,,
22,21,Quizz,[em3]Trash bin,[em3]Prullenbak,,,
22,22,Quizz,[em3]Labels,[em3]Labels,,,
22,23,Quizz,[em3]Bandage,[em3]Verband,,,
22,24,Quizz,[em3]NaCl (salt),[em3]NaCl (zout),,,
22,25,Quizz,[em3]Chronometer,[em3]Chronometer,,,
22,26,Quizz,[em4]Validate,[em4]Valideren,,,
22,27,Robot,Wrong answers sorry,Foute antwoorden sorry,,,
22,28,Robot,Good job!,Goed werk!,,,
22,29,Robot,,,,,
23,0,Robot,,,,,
23,1,Robot,\>What is the correct sequence for a blood test?,Wat is de juiste volgorde voor een bloedonderzoek?,,,
23,27,Robot,Wrong answers sorry,Foute antwoorden sorry,,,
23,28,Robot,Good job!,Goed werk!,,,
23,29,Robot,,,,,
23,31,Quizz,Disinfect,Desinfecteren,,,
23,32,Quizz,Tying the tourniquet,De tourniquet knopen,,,
23,33,Quizz,Filling the sample,Vullen van het staalbuisje,,,
23,34,Quizz,Release the tourniquet,Het tourniquet losmaken,,,
23,35,Quizz,Withdraw the needle,Terugtrekken van de naald,,,
24,0,Robot,,,,,
24,1,Robot,\>Some sample tubes contain additives to prevent clotting. What is the additive for a CBC analysis (1 answer expected)?\n,\Sommige monsterbuizen bevatten additieven om stolling te voorkomen. Wat is de toevoeging voor een CBC analyse (1 antwoord mogelijk)?,,,
24,2,Quizz,Citrate,Citraat,,,
24,3,Quizz,Heparin,Heparine,,,
24,4,Quizz,EDTA,EDTA,,,
24,5,Quizz,NaCl,NaCl,,,
24,15,Quizz,[em3]Citrate,[em3]Citraat,,,
24,16,Quizz,[em3]Heparin,[em3]Heparine,,,
24,17,Quizz,[em3]EDTA,[em3]EDTA,,,
24,18,Quizz,[em3]NaCl,[em3]NaCl,,,
24,26,Quizz,[em4]Validate,[em4]Valideren,,,
24,27,Robot,Wrong answers sorry,Foute antwoorden sorry,,,
24,28,Robot,Good job !,Goed gedaan!,,,
24,29,Quizz,Ethanol,Ethanol,,,
24,30,Quizz,[em3]Ethanol,[em3]Ethanol,,,
24,31,Robot,,,,,
25,0,Robot,,,,,
25,1,Robot,\>What cells do we find in human blood (3 answers expected)?,\Welke cellen vinden we in menselijk bloed (3 antwoorden verwacht)?,,,
25,2,Quizz,Astrocytes,Astrocyten,,,
25,3,Quizz,Blue blood cells,Blauwe bloedcellen,,,
25,4,Quizz,Platelets,Bloedplaatjes,,,
25,5,Quizz,Red blood cells,Rode bloedcellen,,,
25,15,Quizz,[em3]Astrocytes,[em3]Astrocyten,,,
25,16,Quizz,[em3]Blue blood cells,[em3]Blauwe bloedcellen,,,
25,17,Quizz,[em3]Platelets,[em3]Bloedplaatjes,,,
25,18,Quizz,[em3]Red blood cells,[em3]Rode bloedcellen,,,
25,26,Quizz,[em4]Validate,[em4]Valideren,,,
25,27,Robot,Wrong answers sorry,Foute antwoorden sorry,,,
25,28,Robot,Good job!,Goed gedaan!,,,
25,29,Quizz,White blood cells,Witte bloedcellen,,,
25,30,Quizz,[em3]White blood cells,[em3]Witte bloedcellen,,,
25,31,Robot,,,,,
26,0,Robot,,,,,
26,1,Robot,"\>Just before performing the CBC analysis, the EDTA tube should be gently mixed several times, true or false?","\Voor het uitvoeren van de CBC-analyse, moet de EDTA-buis voorzichtig meerdere malen worden gemengd, waar of niet waar?",,,
26,26,Quizz,True,Waar,,,
26,27,Robot,Wrong answers sorry,Foute antwoorden sorry,,,
26,28,Robot,Good job !,Goed gedaan!,,,
26,29,Quizz,False,Fout,,,
26,30,Robot,,,,,
27,0,Robot,,,,,
27,1,Robot,"Alright, we'll move on to the automaton.","Goed, we gaan verder met de automaat.",,,
27,2,Robot,"First of all, the automaton must be well prepared.",Allereerst moet het staal goed voorbereid zijn.,,,
27,3,Robot,Check reagent levels on the screen and i'll give you the control sample.,Controleer de reagensniveaus op het scherm en ik geef je het controlemonster.,,,
27,4,Robot,"Here is the control sample, place it on the automaton rack and launch the control process","Hier is het controlemonster, plaats het op het automatenrek en start het controleproces",,,
27,5,Robot,Now replace the control sample with the blood sample,Vervang nu het controlemonster door het bloedmonster,,,
27,6,Robot,Now you can start the CBC analysis,Nu kunt je de CBC-analyse starten,,,
27,7,Robot,You can check the results on the screen next to it in the Analysis tab,Je kunt de resultaten controleren op het scherm ernaast in het tabblad Analysis,,,
27,8,Robot,"Everything seems to be in order, none of the parameters are outside the normal values, they would be displayed in red if they were.","Alles lijkt in orde te zijn, geen van de parameters liggen buiten de normale waarden, ze zouden in het rood worden weergegeven als dat wel zo was.",,,
27,9,Robot,"Before we finish, I have one more question for you.","Voordat we eindigen, heb ik nog een vraag voor je.",,,
27,10,Robot,"I've retrieved the sample from the automaton, here take it.","Ik heb het monster uit de automaat gehaald, hier neem het.",,,
28,0,Robot,,,,,
28,32,Robot,\>What is the role of haemoglobin in human red blood cells (1 answer expected)?,\>Wat is de rol van hemoglobine in menselijke rode bloedcellen (1 antwoorden verwacht)?,,,
28,33,Quizz,Immunosuppression,Immunosuppressie,,,
28,34,Quizz,Oxygen supply,Zuurstofvoorziening,,,
28,35,Quizz,Starting coagulation,Aanzetten tot stolling,,,
28,36,Quizz,Prevent blood vessels from calcifying,Voorkomen dat bloedvaten verkalken,,,
28,37,Quizz,[em3]Immunosuppression,[em3]Immunosuppressie,,,
28,38,Quizz,[em3]Oxygen supply,[em3]Zuurstoftoevoer,,,
28,39,Quizz,[em3]Starting coagulation,[em3]Aanzetten tot stolling,,,
28,40,Quizz,[em3]Prevent blood vessels from calcifying,[em3]Voorkomen dat bloedvaten verkalken,,,
28,41,Quizz,[em4]Validate,[em4]Valideren,,,
28,42,Robot,Wrong answers sorry,Foute antwoorden sorry,,,
28,43,Robot,Good job !,Goed gedaan!,,,
28,44,Quizz,Hydrogen bonding,Waterstofbinding,,,
28,45,Quizz,[em3]Hydrogen bonding,[em3]Waterstofbinding,,,
28,46,Robot,,,,,
29,0,Robot,,,,,
29,1,Robot,"Good, you have done a good job, all that is left to do is to archive the blood sample and control sample.","Goed, je hebt het goed gedaan, nu alleen nog het bloedmonster archiveren en het controlemonster opbergen.",,,
29,2,Robot,Follow me!,Volg me!,Over here !,,
29,3,Robot,You can put the blood sample into the left fridge and the control sample into the right fridge.,Je kunt het bloedmonster in de linker koelkast doen en het controlemonster in de rechter koelkast.,,,
29,4,Robot,Excellent work!,Uitstekend werk!,,,
29,5,Robot,"The samples should arrive in 2 hours, you can go and rest in your room until then, I will come and get you.","De monsters moeten over 2 uur aankomen, je kunt tot die tijd in je kamer gaan rusten, ik kom je halen.",,,
29,6,Robot,Don't forget to put back your PPE in the locker !,Vergeet niet je PBM's terug in de kast te stoppen!,,,
30,0,Robot,,,,,
30,4,Player,Sleep,Sleep,,,
30,5,Player,Let's look at today's TV news,Laten we naar het TV nieuws van vandaag kijken,,,
30,6,Player,I need to put back my PPE in the locker before sleeping.,Ik moet mijn PBM's terugleggen in de kast voordat ik ga slapen.,,,
31,0,Robot,,,,,
31,1,Robot,Did you sleep well?,Heb je goed geslapen?,,,
31,2,Player,Grmphff...,Grmphff...,,,
31,3,Robot,We have just received our first suspect sample.,We hebben zojuist ons eerste verdachte monster ontvangen.,,,
31,4,Robot,"The European government is sending it to us, because it comes from the Luttastricht laboratory, which is apparently under the control of the mafia.","De Europese regering stuurt het naar ons omdat het afkomstig is van het laboratorium in Luttastricht, dat blijkbaar onder controle staat van de maffia.",,,
31,5,Robot,They would like us to do a new haematological analysis.,Ze willen dat we een nieuwe hematologische analyse doen.,,,
31,6,Player,"Ok, I'm coming, just time to wake up!","Ok, ik kom eraan, geef me even tijd om wakker te worden",,,
31,7,Robot,"Don't dawdle, we have work to do. And don't forget your labcoat, I'm waiting for you in the reception room..","Niet treuzelen, we hebben werk te doen. En vergeet je outfit niet, ik wacht op je in de ontvangstruimte...",,,
31,8,Player,"All right, I'm coming.","Oké, ik kom eraan.",,,
32,0,Robot,,,,,
32,1,Robot,"Be careful, don't forget to put your labcoat on, it's compulsory in the lab!","Wees voorzichtig, vergeet je labjas niet aan te trekken, het is verplicht in het lab!",,,
33,0,Robot,,,,,
33,1,Robot,"Here, take the sample on the counter","Hier, neem het monster op de toonbank",,,
33,2,Robot,"This is the sample of Bernie Russo. According to the information in my database, he is a 35-year-old man who wants to go to Mars to work in construction.",Dit is het monster van Bernie Russo. Volgens de informatie in mijn database is hij een 35-jarige man die naar Mars wil om in de bouw te werken.,,,
33,3,Player,Why might the sample be falsified?,Waarom zou het monster vervalst kunnen zijn?,,,
33,4,Robot,"As I told you, it comes from a suspected laboratory.","Zoals ik al zei, komt het uit een verdacht laboratorium.",,,
33,5,Robot,"Moreover, Mr Russo is said to be the personal driver of Edith Balmont, the woman suspected by the secret service of being the head of the local mafia.","Bovendien zou de heer Russo de persoonlijke chauffeur zijn van Edith Balmont, de vrouw die er door de geheime dienst van wordt verdacht het hoofd van de plaatselijke maffia te zijn.",,,
33,6,Robot,"In order to ensure its suitability for use, we will need to perform a haematological analysis and check its haemoglobin level.","Om te verifiëren of deze persoon in aanmerking komt om naar Mars te gaan, moeten we een hematologische analyse uitvoeren en zijn hemoglobinegehalte controleren.",,,
33,7,Robot,"This is a measurement of the red blood cells in your blood, which carry oxygen from your lungs to your organs.","Dit is een maat voor de rode bloedcellen in je bloed, die zuurstof van je longen naar je organen vervoeren.",,,
33,8,Robot,"If you have a low hemoglobin level you often feel tired and exhausted. For example, cyclists who use EPO increase their haemoglobin levels to improve their performance.","Als je een laag hemoglobinegehalte hebt, voel je je vaak moe en uitgeput. Wielrenners die bijvoorbeeld EPO gebruiken verhogen hun hemoglobinegehalte om hun prestaties te verbeteren.",,,
33,9,Robot,"I talk too much, I know I'm a chatty robot but I haven't talked to anyone in 10 years! Let's go to the lab for the analysis.","Ik praat te veel, ik weet dat ik een praatgrage robot ben, maar ik heb in 10 jaar met niemand gepraat! Laten we naar het lab gaan voor de analyse.",,,
33,10,Robot,Now scan the sample barcode by dragging it on the scanner screen !,Scan nu de barcode van het monster door het op het scherm van de scanner te slepen !,,,
33,11,Robot,Then click the screen to see information about the sample.,Klik dan op het scherm om informatie over het monster te zien.,,,
34,0,Robot,,,,,
34,1,Robot,"Before starting the analysis in the automaton, the tube must be prepared.","Voordat u de analyse in de automaat start, moet de buis worden voorbereid.",,,
34,2,Robot,"If you don't know how to do this, you can use the preparation manual!","Als u niet weet hoe dit moet, kunt u de voorbereidingshandleiding gebruiken!",,,
34,3,Robot,Right click on the tube in your inventory to perform the required action,Rechtsklik op de buis in uw inventaris om de vereiste actie uit te voeren.,,,
34,4,Robot,Well done! Now let's move on to the analysis of the automaton.,Goed gedaan! Laten we nu overgaan tot de analyse van de automaat.,,,
34,5,Robot,"Careful, you'll ruin the sample! We must not make mistakes!","Voorzichtig, je verpest het monster! We mogen geen fouten maken!",,,
34,6,Robot,You need to mix the sample very gently so the blood is homogenous inside the sample.,Je moet het monster heel voorzichtig mengen zodat het bloed homogeen is in het monster.,,,
34,7,Robot,Now you know the procedure to get the automaton ready.,Nu weet je de procedure om de automaat klaar te maken.,,,
34,8,Robot,Don't forget to check the reagent levels.,Vergeet niet de reagensniveaus te controleren.,,,
34,9,Robot,"It's annoying, I know. But thoroughness and precision are crucial in a medical technologist's job.","Het is vervelend, ik weet het. Maar grondigheid en precisie zijn cruciaal in het werk van een medisch laboratorium technoloog",,,
34,10,Robot,"I'm watching you, try to do the various operations of the analysis on your own!","Ik kijk naar je, probeer de verschillende handelingen van de analyse zelf te doen!",,,
34,11,Robot,"Great job ! Let's check the results now, we are looking for abnormal values.","Goed gedaan! Laten we nu de resultaten controleren, we zoeken naar abnormale waarden.",,,
34,12,Robot,"There is definitively something wrong, navigate to the codex and try to find a disease that coincides with the values.","Er is zeker iets mis, navigeer naar de codex en probeer een ziekte te vinden die overeenkomt met deze waarden.",,,
34,13,Robot,"Once you are confident with your choice, put the disease into the validation tab in the codex.","Zodra je zeker bent van je keuze, voer je de ziekte in op het tabblad validatie in de codex.",,,
